2-meth-fgroup,2-meth-LG_L1,2-meth-LG_L2,2-meth-LG_EN,2-meth-DT,2-meth-SVM,2-meth-baseline
g1,-,-,-,-,-,0.666666667
g2,-,-,-,0.537634409,-,0.666666667
g3,-,-,-,0.569892473,-,0.666666667
g4,-,-,-,0.483870968,-,0.666666667
g5,-,-,-,0.591397849,-,0.666666667
g6,-,-,-,0.634408602,-,0.666666667
g7,-,-,-,0.516129032,-,0.666666667
g8,-,-,-,0.591397849,-,0.666666667
pca,-,-,0.677419355,0.559139785,0.655913978,0.666666667
chi2,0.677419355,0.655913978,0.655913978,0.52688172,0.591397849,0.666666667
thresholding,0.559139785,0.634408602,0.602150538,0.634408602,0.559139785,0.666666667
