1-marijuana-fgroup,1-marijuana-LG,1-marijuana-DT,1-marijuana-SVM,1-marijuana-baseline,1-meth-fgroup,1-meth-LG,1-meth-DT,1-meth-SVM,1-meth-baseline,2-marijuana-fgroup,2-marijuana-LG,2-marijuana-DT,2-marijuana-SVM,2-marijuana-baseline,2-meth-fgroup,2-meth-LG,2-meth-DT,2-meth-SVM,2-meth-baseline,1+2-marijuana-fgroup,1+2-marijuana-LG,1+2-marijuana-DT,1+2-marijuana-SVM,1+2-marijuana-baseline,1+2-meth-fgroup,1+2-meth-LG,1+2-meth-DT,1+2-meth-SVM,1+2-meth-baseline
g1,0.5151515151515151,0.5757575757575758,0.5757575757575758,0.5151515151515151,g1,0.4857142857142857,0.37142857142857144,0.34285714285714286,0.5428571428571428,g1,0.618421052631579,0.5526315789473685,0.6052631578947368,0.6842105263157895,g1,0.4666666666666667,0.5733333333333334,0.5466666666666666,0.6266666666666667,g1,0.5779816513761468,0.6055045871559633,0.5504587155963303,0.6238532110091743,g1,0.4818181818181818,0.5818181818181818,0.43636363636363634,0.5727272727272728
g2,0.6060606060606061,0.696969696969697,0.5151515151515151,0.5151515151515151,g2,0.2857142857142857,0.37142857142857144,0.2571428571428571,0.5428571428571428,g2,0.5263157894736842,0.5526315789473685,0.6578947368421053,0.6842105263157895,g2,0.5866666666666667,0.52,0.64,0.6266666666666667,g2,0.4954128440366973,0.5596330275229358,0.5779816513761468,0.6238532110091743,g2,0.4818181818181818,0.4727272727272727,0.5454545454545454,0.5727272727272728
g3,0.7878787878787878,0.6060606060606061,0.7878787878787878,0.5151515151515151,g3,0.5142857142857142,0.4,0.42857142857142855,0.5428571428571428,g3,0.618421052631579,0.6447368421052632,0.6578947368421053,0.6842105263157895,g3,0.5333333333333333,0.5866666666666667,0.5733333333333334,0.6266666666666667,g3,0.5871559633027523,0.6513761467889908,0.6972477064220184,0.6238532110091743,g3,0.5272727272727272,0.5272727272727272,0.5636363636363636,0.5727272727272728
g4,0.6363636363636364,0.42424242424242425,0.45454545454545453,0.5151515151515151,g4,0.5714285714285714,0.5142857142857142,0.4857142857142857,0.5428571428571428,g4,0.6052631578947368,0.4868421052631579,0.6842105263157895,0.6842105263157895,g4,0.5733333333333334,0.6933333333333334,0.6,0.6266666666666667,g4,0.6146788990825688,0.5688073394495413,0.6238532110091743,0.6238532110091743,g4,0.5181818181818182,0.37272727272727274,0.5363636363636364,0.5727272727272728
g5,0.42424242424242425,0.45454545454545453,0.6060606060606061,0.5151515151515151,g5,0.2857142857142857,0.4857142857142857,0.37142857142857144,0.5428571428571428,g5,0.6447368421052632,0.4473684210526316,0.6578947368421053,0.6842105263157895,g5,0.4666666666666667,0.5866666666666667,0.6266666666666667,0.6266666666666667,g5,0.5229357798165137,0.5871559633027523,0.5688073394495413,0.6238532110091743,g5,0.4818181818181818,0.42727272727272725,0.5181818181818182,0.5727272727272728
g6,0.7272727272727273,0.45454545454545453,0.7272727272727273,0.5151515151515151,g6,0.45714285714285713,0.37142857142857144,0.34285714285714286,0.5428571428571428,g6,0.618421052631579,0.5921052631578947,0.6710526315789473,0.6842105263157895,g6,0.52,0.5733333333333334,0.5733333333333334,0.6266666666666667,g6,0.6788990825688074,0.5137614678899083,0.6605504587155964,0.6238532110091743,g6,0.509090909090909,0.43636363636363634,0.5,0.5727272727272728
g7,0.48484848484848486,0.3333333333333333,0.3333333333333333,0.5151515151515151,g7,0.42857142857142855,0.42857142857142855,0.4857142857142857,0.5428571428571428,g7,0.6052631578947368,0.42105263157894735,0.6842105263157895,0.6842105263157895,g7,0.5333333333333333,0.4533333333333333,0.6,0.6266666666666667,g7,0.6238532110091743,0.5045871559633027,0.6146788990825688,0.6238532110091743,g7,0.509090909090909,0.33636363636363636,0.509090909090909,0.5727272727272728
g8,0.6363636363636364,0.5151515151515151,0.6060606060606061,0.5151515151515151,g8,0.45714285714285713,0.5142857142857142,0.4857142857142857,0.5428571428571428,g8,0.5657894736842105,0.4868421052631579,0.6842105263157895,0.6842105263157895,g8,0.5333333333333333,0.5733333333333334,0.6133333333333333,0.6266666666666667,g8,0.6330275229357798,0.5871559633027523,0.6513761467889908,0.6238532110091743,g8,0.5272727272727272,0.4,0.5363636363636364,0.5727272727272728
['SC5'],0.18181818181818182,0.5151515151515151,0.696969696969697,0.5151515151515151,['AC12'],0.6857142857142857,0.4857142857142857,0.5714285714285714,0.5428571428571428,['AC7B'],0.6842105263157895,0.75,0.75,0.6842105263157895,['DA2_3'],0.7066666666666667,0.7066666666666667,0.7066666666666667,0.6266666666666667,['ND1'],0.6513761467889908,0.6972477064220184,0.6605504587155964,0.6238532110091743,['DA2_3'],0.6272727272727273,0.5818181818181818,0.5545454545454546,0.5727272727272728
"['SC5', 'ID4']",0.7272727272727273,0.7878787878787878,0.8484848484848485,0.5151515151515151,"['AC12', 'CJ7']",0.7142857142857143,0.6571428571428571,0.6285714285714286,0.5428571428571428,"['AC7B', 'ND1']",0.6842105263157895,0.7236842105263158,0.6710526315789473,0.6842105263157895,"['DA2_3', 'TB4']",0.68,0.64,0.68,0.6266666666666667,"['ND1', 'ND2']",0.6513761467889908,0.6972477064220184,0.5321100917431193,0.6238532110091743,"['DA2_3', 'ND7']",0.6,0.5727272727272728,0.5636363636363636,0.5727272727272728
"['SC5', 'ID4', 'ID7']",0.7272727272727273,0.7878787878787878,0.8484848484848485,0.5151515151515151,"['AC12', 'CJ7', 'ND7']",0.7142857142857143,0.5428571428571428,0.7142857142857143,0.5428571428571428,"['AC7B', 'ND1', 'ND2']",0.6447368421052632,0.6447368421052632,0.6842105263157895,0.6842105263157895,"['DA2_3', 'TB4', 'DA1_7']",0.6266666666666667,0.7466666666666667,0.68,0.6266666666666667,"['ND1', 'ND2', 'CJ7']",0.6146788990825688,0.6880733944954128,0.6605504587155964,0.6238532110091743,"['DA2_3', 'ND7', 'CJ5']",0.6272727272727273,0.5181818181818182,0.5363636363636364,0.5727272727272728
