NSX2_1,NSX2_2,NSX2_3,NSX2_4,NSX2_5,NSX3_1,NSX3_2,NSX3_3,NSX3_4,NSX5_1,NSX5_2,NSX5_3,NSX5_4,NSX7_1,NSX7_2,NSX7_3,NSX7_4,NSX7_5,NSX7_6,NSX7_7,NSX8_1,NSX8_2,NSX8_3,NSX8_4,NSX8_5,NSX9_1,NSX9_2,NSX10_1,NSX10_2,NSX10_3,NSX10_4,NSX10_5,NSX10_6,NSX10_7,NSX10_8,NSX11_1,NSX11_2,NSX11_3,NSX11_4,NSX11_5,NSX11_6,NSX11_7,NSX11_8,NSX12_1,NSX12_2,NSX12_3,NSX12_4,NSX12_5,NSX12_6,n_nodes_NS,n_edges_NS,NDX2_1,NDX2_2,NDX2_3,NDX2_4,NDX4_1,NDX4_2,NDX4_3,NDX4_4,NDX4_5,NDX4_6,NDX4_7,NDX5_1,NDX5_2,NDX5_3,NDX5_4,NDX5_5,NDX6_1,NDX6_2,NDX6_3,NDX6_4,NDX6_5,NDX6_6,NDX8_1,NDX8_2,NDX8_3,NDX8_4,NDX8_5,NDX8_6,NDX8_7,NDX8_8,NDX9_1,NDX9_2,NDX9_3,NDX9_4,NDX9_5,NDX9_6,NDX9_7,NDX9_8,NDX12_1,NDX12_2,NDX12_3,NDX12_4,NDX12_5,n_nodes_ND,n_edges_ND
1,1,2,1,0,0,0,1,4,0,0,5,0,0,1,1,1,2,0,0,2,1,2,0,0,0,5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,1,2,0,0,0,0,5,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,4,0,2,1,2,0,0,5,0,0,2,1,1,1,0,0,3,0,1,1,0,3,2,4,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,1,1,0,1,1,1,5,12,0,0,2,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,0,0,4,1
3,1,1,0,3,1,0,6,1,0,0,8,0,5,3,0,0,0,0,0,4,0,4,0,0,5,3,5,0,0,2,0,1,0,0,5,0,0,0,0,0,3,0,0,3,0,0,4,1,8,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,4,4
1,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,4,8
0,0,1,1,6,1,0,6,1,0,0,9,0,1,2,2,1,0,3,0,7,1,1,0,0,1,8,3,1,0,3,2,0,0,0,0,2,1,3,1,1,1,0,0,0,0,1,8,0,9,4,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,4,1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,0,0,4,9
0,2,0,2,2,2,1,3,0,0,1,3,2,0,3,0,1,0,1,1,2,1,2,1,0,4,2,3,3,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,2,0,3,1,6,3,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,3,2
0,0,2,5,1,2,2,2,2,0,0,8,0,0,6,1,0,0,1,0,2,2,4,0,0,1,7,3,3,1,1,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,7,0,8,5,0,0,6,0,0,5,1,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,4,1,2,0,3,3,0,8,5
